candle_begin_time,open,high,low,close,volume
2018/9/24 5:00,6677.98,6678,6657.17,6669.54,1488.629528
2018/9/24 6:00,6669.53,6670.6,6601,6632.47,2317.182574
2018/9/24 7:00,6632.46,6670.88,6625,6660.41,2013.114436
2018/9/24 8:00,6660.41,6663.92,6620.27,6624.8,1650.477268
2018/9/24 9:00,6624.25,6624.25,6561.15,6584.31,4228.43485
2018/9/24 10:00,6587.2,6605.88,6577.03,6593.24,2476.429502
2018/9/24 11:00,6594.21,6596.4,6554.43,6564.67,1879.130452
2018/9/24 12:00,6564.67,6615,6561.21,6602,1981.690773
2018/9/24 13:00,6601.46,6601.89,6581.25,6595,1289.048284
2018/9/24 14:00,6595.21,6599.88,6571.37,6588.74,972.5634015
2018/9/24 15:00,6586.15,6594.72,6571.93,6581.5,898.92708
2018/9/24 16:00,6583.99,6600,6579.21,6592.72,1069.589342
2018/9/24 17:00,6592.72,6624.7,6592.13,6619.5,1767.324781
2018/9/24 18:00,6619.5,6637.31,6612.33,6612.33,1433.487439
2018/9/24 19:00,6612.51,6619.04,6594.47,6594.71,950.0656969
2018/9/24 20:00,6595.44,6614.24,6593.34,6605.59,730.0015998
2018/9/24 21:00,6605.59,6613.03,6596.62,6599.93,1337.681659
2018/9/24 22:00,6598,6600,6568.5,6575,1252.577523
2018/9/24 23:00,6574,6575,6540,6566.6,2287.193626
2018/9/25 0:00,6567,6567,6480,6501.32,3333.860512
2018/9/25 1:00,6499.45,6501.3,6397.85,6415.69,6698.023011
2018/9/25 2:00,6413.68,6415.57,6366.21,6411.52,4081.382213
2018/9/25 3:00,6412,6465,6409,6438.36,3312.34431
2018/9/25 4:00,6436.58,6455.49,6428.77,6428.77,2348.659157
2018/9/25 5:00,6428.77,6457,6419.46,6449.5,2849.264966
2018/9/25 6:00,6450.44,6455,6397.37,6409.31,2539.095739
2018/9/25 7:00,6408.73,6428.1,6348.01,6363.44,4252.498945
2018/9/25 8:00,6365.81,6403,6354.58,6385.48,3348.722046
2018/9/25 9:00,6386.18,6414.67,6377.1,6397.6,2995.766552
2018/9/25 10:00,6397.63,6408.13,6375.56,6389.46,1857.283267
2018/9/25 11:00,6388.39,6394.78,6356.86,6386.5,3456.64307
2018/9/25 12:00,6387.2,6425.25,6369.29,6414.42,4329.228869
2018/9/25 13:00,6414.41,6414.41,6390.62,6394.21,2305.75673
2018/9/25 14:00,6395.49,6407.22,6368.2,6396.32,2909.15405
2018/9/25 15:00,6397.48,6400.45,6345.23,6380.9,4971.565924
2018/9/25 16:00,6382.48,6399.89,6368.54,6368.93,2104.127537
2018/9/25 17:00,6368.51,6388.05,6344.2,6369.2,2017.869401
2018/9/25 18:00,6370.67,6373.49,6305.36,6332.41,4268.765183
2018/9/25 19:00,6332.4,6360,6329.26,6344.99,2284.733778
2018/9/25 20:00,6344.88,6395.95,6344.88,6370.71,2059.558219
2018/9/25 21:00,6370.71,6388.74,6360.73,6378.2,1534.436874
2018/9/25 22:00,6376,6399,6363.21,6378.26,2067.361433
2018/9/25 23:00,6379.1,6422,6370,6419.07,3284.607098
2018/9/26 0:00,6421.84,6425.62,6385,6390,2403.248652
2018/9/26 1:00,6390.09,6395,6370.23,6384.5,1763.925233
2018/9/26 2:00,6386.41,6398.64,6378.25,6381.47,1164.053503
2018/9/26 3:00,6382.34,6386.38,6366.48,6372.11,1191.4261
2018/9/26 4:00,6369.65,6378.85,6367.01,6371.76,1963.620854
2018/9/26 5:00,6371.76,6433,6369.5,6413.5,4135.068015
2018/9/26 6:00,6413.69,6422.75,6394.49,6405.99,2466.936389
2018/9/26 7:00,6405.65,6437.09,6405.65,6428.08,2320.025611
2018/9/26 8:00,6430.75,6433,6407.44,6420.67,1561.554376
2018/9/26 9:00,6421.37,6431.37,6405.91,6424.92,2006.249144
2018/9/26 10:00,6428.14,6448.93,6427.41,6436.9,2226.642667
2018/9/26 11:00,6437.5,6496.34,6434.04,6490.23,3749.189479
2018/9/26 12:00,6492.23,6502.19,6467.65,6471.12,2913.448621
2018/9/26 13:00,6470.33,6487.92,6440,6460,1883.306377
2018/9/26 14:00,6460,6505,6459.5,6488.46,1863.117344
2018/9/26 15:00,6489.1,6519.96,6477.79,6504.23,1929.601344
2018/9/26 16:00,6504.45,6514.98,6487,6497.45,1710.118124
2018/9/26 17:00,6496.91,6517.72,6493.47,6500.92,1230.592231
2018/9/26 18:00,6500.92,6513.97,6489.33,6490.73,1153.954101
2018/9/26 19:00,6490.73,6490.87,6458.25,6468.73,1285.870989
2018/9/26 20:00,6465.11,6483.43,6464.66,6482,1012.518512
2018/9/26 21:00,6482.89,6485.3,6430.1,6449.31,1494.62855
2018/9/26 22:00,6449.31,6454.43,6413.81,6447.54,1798.126947
2018/9/26 23:00,6447.62,6464.42,6434,6439.12,1151.577252
2018/9/27 0:00,6439.33,6481.45,6439.33,6480.25,1412.788828
2018/9/27 1:00,6480.11,6502.56,6469.61,6470.64,1367.908532
2018/9/27 2:00,6470.6,6486.3,6462.93,6480.34,1427.274358
2018/9/27 3:00,6480.16,6490,6463.53,6483.56,1140.590255
2018/9/27 4:00,6483.56,6492.37,6454.72,6465.01,804.7237468
2018/9/27 5:00,6465.01,6472.55,6448.4,6451.11,1051.20525
2018/9/27 6:00,6451.38,6457.74,6429.21,6454.57,2066.865336
2018/9/27 7:00,6454.56,6459,6426.44,6438.03,1335.700922
2018/9/27 8:00,6436.01,6441.9,6410.9,6441.9,1634.34033
2018/9/27 9:00,6441.48,6459.66,6433.06,6441.45,1475.954305
2018/9/27 10:00,6442.75,6458.57,6435.56,6443.19,1352.688671
2018/9/27 11:00,6443.19,6476.3,6436.51,6461.43,1209.557588
2018/9/27 12:00,6461.43,6502.87,6457,6483.48,2072.219602
2018/9/27 13:00,6483.36,6500,6471.36,6484.94,1155.384568
2018/9/27 14:00,6484.5,6500,6470.1,6489.33,1250.129697
2018/9/27 15:00,6488.27,6495.17,6458.35,6468.97,1572.612028
2018/9/27 16:00,6468.81,6489.55,6468.39,6481.72,993.4881747
2018/9/27 17:00,6481.73,6493,6468.85,6486.09,909.2361872
2018/9/27 18:00,6484.76,6510.32,6484.75,6499.86,1050.521093
